service,memory-usage,databases
dbrepo-gateway-service,20865024,0
dbrepo-identifier-service,363999232,0
dbrepo-query-service,413765632,0
dbrepo-table-service,447070208,0
dbrepo-database-service,372654080,0
dbrepo-broker-service,145637376,0
dbrepo-user-service,412860416,0
dbrepo-container-service,334929920,0
dbrepo-metadata-service,440729600,0
dbrepo-semantics-service,418803712,0
dbrepo-authentication-service,673284096,0
dbrepo-analyse-service,70156288,0
dbrepo-metadata-db,163684352,0
dbrepo-ui,87261184,0
dbrepo-user-db,104398848,0
dbrepo-search-db,1636634624,0
dbrepo-gateway-service,21258240,1
dbrepo-identifier-service,363900928,1
dbrepo-query-service,414531584,1
dbrepo-table-service,446943232,1
dbrepo-database-service,386527232,1
dbrepo-broker-service,145461248,1
dbrepo-user-service,413319168,1
dbrepo-container-service,335208448,1
dbrepo-metadata-service,440586240,1
dbrepo-semantics-service,419258368,1
dbrepo-authentication-service,671801344,1
dbrepo-analyse-service,70119424,1
dbrepo-metadata-db,163553280,1
dbrepo-ui,87212032,1
dbrepo-user-db,105431040,1
dbrepo-search-db,1650880512,1
dbrepo-gateway-service,21606400,2
dbrepo-identifier-service,363954176,2
dbrepo-query-service,415031296,2
dbrepo-table-service,447115264,2
dbrepo-database-service,384495616,2
dbrepo-broker-service,145653760,2
dbrepo-user-service,413396992,2
dbrepo-container-service,335806464,2
dbrepo-metadata-service,440692736,2
dbrepo-semantics-service,419282944,2
dbrepo-authentication-service,671969280,2
dbrepo-analyse-service,70119424,2
dbrepo-metadata-db,163581952,2
dbrepo-ui,87232512,2
dbrepo-user-db,108228608,2
dbrepo-search-db,1652862976,2
dbrepo-gateway-service,21602304,3
dbrepo-identifier-service,364032000,3
dbrepo-query-service,415354880,3
dbrepo-table-service,447197184,3
dbrepo-database-service,385277952,3
dbrepo-broker-service,146075648,3
dbrepo-user-service,414433280,3
dbrepo-container-service,335982592,3
dbrepo-metadata-service,441159680,3
dbrepo-semantics-service,419667968,3
dbrepo-authentication-service,671653888,3
dbrepo-analyse-service,70123520,3
dbrepo-metadata-db,163553280,3
dbrepo-ui,87089152,3
dbrepo-user-db,108466176,3
dbrepo-search-db,1654095872,3
dbrepo-gateway-service,21622784,4
dbrepo-identifier-service,364040192,4
dbrepo-query-service,415768576,4
dbrepo-table-service,448036864,4
dbrepo-database-service,386252800,4
dbrepo-broker-service,146501632,4
dbrepo-user-service,414580736,4
dbrepo-container-service,336068608,4
dbrepo-metadata-service,442396672,4
dbrepo-semantics-service,420220928,4
dbrepo-authentication-service,671584256,4
dbrepo-analyse-service,70131712,4
dbrepo-metadata-db,163565568,4
dbrepo-ui,87019520,4
dbrepo-user-db,106561536,4
dbrepo-search-db,1656045568,4
dbrepo-gateway-service,21610496,5
dbrepo-identifier-service,364105728,5
dbrepo-query-service,416014336,5
dbrepo-table-service,448114688,5
dbrepo-database-service,387100672,5
dbrepo-broker-service,146743296,5
dbrepo-user-service,414482432,5
dbrepo-container-service,336015360,5
dbrepo-metadata-service,442331136,5
dbrepo-semantics-service,420200448,5
dbrepo-authentication-service,670957568,5
dbrepo-analyse-service,70217728,5
dbrepo-metadata-db,163475456,5
dbrepo-ui,87040000,5
dbrepo-user-db,106721280,5
dbrepo-search-db,1656950784,5
dbrepo-gateway-service,21630976,6
dbrepo-identifier-service,364253184,6
dbrepo-query-service,416219136,6
dbrepo-table-service,448118784,6
dbrepo-database-service,387997696,6
dbrepo-broker-service,145833984,6
dbrepo-user-service,414543872,6
dbrepo-container-service,336101376,6
dbrepo-metadata-service,442458112,6
dbrepo-semantics-service,420208640,6
dbrepo-authentication-service,670990336,6
dbrepo-analyse-service,70139904,6
dbrepo-metadata-db,163512320,6
dbrepo-ui,87191552,6
dbrepo-user-db,106954752,6
dbrepo-search-db,1657282560,6
dbrepo-gateway-service,21635072,7
dbrepo-identifier-service,364302336,7
dbrepo-query-service,416538624,7
dbrepo-table-service,448630784,7
dbrepo-database-service,388616192,7
dbrepo-broker-service,146264064,7
dbrepo-user-service,414552064,7
dbrepo-container-service,336896000,7
dbrepo-metadata-service,442556416,7
dbrepo-semantics-service,420515840,7
dbrepo-authentication-service,670728192,7
dbrepo-analyse-service,70144000,7
dbrepo-metadata-db,163483648,7
dbrepo-ui,87175168,7
dbrepo-user-db,107044864,7
dbrepo-search-db,1658245120,7
dbrepo-gateway-service,21635072,8
dbrepo-identifier-service,364277760,8
dbrepo-query-service,416620544,8
dbrepo-table-service,449478656,8
dbrepo-database-service,389816320,8
dbrepo-broker-service,146182144,8
dbrepo-user-service,414449664,8
dbrepo-container-service,336883712,8
dbrepo-metadata-service,442478592,8
dbrepo-semantics-service,420188160,8
dbrepo-authentication-service,669843456,8
dbrepo-analyse-service,70152192,8
dbrepo-metadata-db,163385344,8
dbrepo-ui,86953984,8
dbrepo-user-db,109080576,8
dbrepo-search-db,1658843136,8
dbrepo-gateway-service,21635072,9
dbrepo-identifier-service,364580864,9
dbrepo-query-service,417054720,9
dbrepo-table-service,449462272,9
dbrepo-database-service,390483968,9
dbrepo-broker-service,146325504,9
dbrepo-user-service,414408704,9
dbrepo-container-service,336859136,9
dbrepo-metadata-service,442486784,9
dbrepo-semantics-service,420192256,9
dbrepo-authentication-service,669872128,9
dbrepo-analyse-service,70156288,9
dbrepo-metadata-db,163389440,9
dbrepo-ui,86970368,9
dbrepo-user-db,109240320,9
dbrepo-search-db,1659510784,9
dbrepo-gateway-service,21659648,10
dbrepo-identifier-service,364470272,10
dbrepo-query-service,417136640,10
dbrepo-table-service,449368064,10
dbrepo-database-service,394334208,10
dbrepo-broker-service,146456576,10
dbrepo-user-service,414294016,10
dbrepo-container-service,336785408,10
dbrepo-metadata-service,442408960,10
dbrepo-semantics-service,420118528,10
dbrepo-authentication-service,669315072,10
dbrepo-analyse-service,70209536,10
dbrepo-metadata-db,163295232,10
dbrepo-ui,86913024,10
dbrepo-user-db,109309952,10
dbrepo-search-db,1661718528,10
