service,memory-usage,databases
dbrepo-gateway-service,14479360,0
dbrepo-identifier-service,376471552,0
dbrepo-query-service,377425920,0
dbrepo-database-service,384733184,0
dbrepo-table-service,388853760,0
dbrepo-user-service,445919232,0
dbrepo-semantics-service,392376320,0
dbrepo-container-service,379920384,0
dbrepo-broker-service,131305472,0
dbrepo-metadata-service,396050432,0
dbrepo-authentication-service,625049600,0
dbrepo-analyse-service,64614400,0
dbrepo-ui,85037056,0
dbrepo-metadata-db,157601792,0
dbrepo-search-db,1618014208,0
dbrepo-userdb-database-1,76460032,1
dbrepo-gateway-service,15056896,1
dbrepo-identifier-service,375455744,1
dbrepo-query-service,378294272,1
dbrepo-database-service,394727424,1
dbrepo-table-service,388874240,1
dbrepo-user-service,445927424,1
dbrepo-semantics-service,392376320,1
dbrepo-container-service,418140160,1
dbrepo-broker-service,131629056,1
dbrepo-metadata-service,396070912,1
dbrepo-authentication-service,625176576,1
dbrepo-analyse-service,64634880,1
dbrepo-ui,85057536,1
dbrepo-metadata-db,157696000,1
dbrepo-search-db,1621516288,1
dbrepo-userdb-database-2,73641984,2
dbrepo-userdb-database-1,76460032,2
dbrepo-gateway-service,15314944,2
dbrepo-identifier-service,375513088,2
dbrepo-query-service,378634240,2
dbrepo-database-service,395243520,2
dbrepo-table-service,388923392,2
dbrepo-user-service,446025728,2
dbrepo-semantics-service,392413184,2
dbrepo-container-service,418607104,2
dbrepo-broker-service,131944448,2
dbrepo-metadata-service,396083200,2
dbrepo-authentication-service,625000448,2
dbrepo-analyse-service,64630784,2
dbrepo-ui,85078016,2
dbrepo-metadata-db,157691904,2
dbrepo-search-db,1622249472,2
dbrepo-userdb-database-3,67579904,3
dbrepo-userdb-database-2,73641984,3
dbrepo-userdb-database-1,74010624,3
dbrepo-gateway-service,15519744,3
dbrepo-identifier-service,375451648,3
dbrepo-query-service,378871808,3
dbrepo-database-service,395935744,3
dbrepo-table-service,388730880,3
dbrepo-user-service,445874176,3
dbrepo-semantics-service,392409088,3
dbrepo-container-service,421228544,3
dbrepo-broker-service,132292608,3
dbrepo-metadata-service,395952128,3
dbrepo-authentication-service,622501888,3
dbrepo-analyse-service,64643072,3
dbrepo-ui,85032960,3
dbrepo-metadata-db,157429760,3
dbrepo-search-db,1620049920,3
dbrepo-userdb-database-4,63098880,4
dbrepo-userdb-database-3,67579904,4
dbrepo-userdb-database-2,73457664,4
dbrepo-userdb-database-1,74010624,4
dbrepo-gateway-service,15650816,4
dbrepo-identifier-service,375111680,4
dbrepo-query-service,378683392,4
dbrepo-database-service,396320768,4
dbrepo-table-service,388124672,4
dbrepo-user-service,445050880,4
dbrepo-semantics-service,391790592,4
dbrepo-container-service,421269504,4
dbrepo-broker-service,132382720,4
dbrepo-metadata-service,395264000,4
dbrepo-authentication-service,617168896,4
dbrepo-analyse-service,64651264,4
dbrepo-ui,84316160,4
dbrepo-metadata-db,156827648,4
dbrepo-search-db,1621131264,4
dbrepo-userdb-database-5,65531904,5
dbrepo-userdb-database-4,63098880,5
dbrepo-userdb-database-3,67239936,5
dbrepo-userdb-database-2,73457664,5
dbrepo-userdb-database-1,74010624,5
dbrepo-gateway-service,16871424,5
dbrepo-identifier-service,374882304,5
dbrepo-query-service,378441728,5
dbrepo-database-service,396771328,5
dbrepo-table-service,387510272,5
dbrepo-user-service,444502016,5
dbrepo-semantics-service,391499776,5
dbrepo-container-service,424026112,5
dbrepo-broker-service,133124096,5
dbrepo-metadata-service,394743808,5
dbrepo-authentication-service,612139008,5
dbrepo-analyse-service,64733184,5
dbrepo-ui,84754432,5
