service,memory-usage,databases
dbrepo-gateway-service,21131264,0
dbrepo-identifier-service,430952448,0
dbrepo-query-service,459767808,0
dbrepo-table-service,386744320,0
dbrepo-database-service,371937280,0
dbrepo-broker-service,149372928,0
dbrepo-data-service,378077184,0
dbrepo-container-service,383315968,0
dbrepo-semantics-service,433647616,0
dbrepo-metadata-service,372928512,0
dbrepo-user-service,488726528,0
dbrepo-authentication-service,469897216,0
dbrepo-ui,87220224,0
dbrepo-metadata-db,150482944,0
dbrepo-analyse-service,86392832,0
dbrepo-data-db,98828288,0
dbrepo-search-db,1651208192,0
dbrepo-upload-service,31543296,0
dbrepo-gateway-service,21241856,1
dbrepo-identifier-service,431284224,1
dbrepo-query-service,460722176,1
dbrepo-table-service,387289088,1
dbrepo-database-service,388243456,1
dbrepo-broker-service,149483520,1
dbrepo-data-service,379793408,1
dbrepo-container-service,385175552,1
dbrepo-semantics-service,436330496,1
dbrepo-metadata-service,374140928,1
dbrepo-user-service,488828928,1
dbrepo-authentication-service,469712896,1
dbrepo-ui,87011328,1
dbrepo-metadata-db,150331392,1
dbrepo-analyse-service,86392832,1
dbrepo-data-db,102359040,1
dbrepo-search-db,1654771712,1
dbrepo-upload-service,31539200,1
dbrepo-gateway-service,21344256,2
dbrepo-identifier-service,431558656,2
dbrepo-query-service,461344768,2
dbrepo-table-service,388046848,2
dbrepo-database-service,388325376,2
dbrepo-broker-service,149422080,2
dbrepo-data-service,381276160,2
dbrepo-container-service,385777664,2
dbrepo-semantics-service,436871168,2
dbrepo-metadata-service,375390208,2
dbrepo-user-service,489054208,2
dbrepo-authentication-service,469872640,2
dbrepo-ui,87031808,2
dbrepo-metadata-db,150372352,2
dbrepo-analyse-service,86392832,2
dbrepo-data-db,102780928,2
dbrepo-search-db,1655668736,2
dbrepo-upload-service,31539200,2
dbrepo-gateway-service,21467136,3
dbrepo-identifier-service,431886336,3
dbrepo-query-service,461807616,3
dbrepo-table-service,389312512,3
dbrepo-database-service,388878336,3
dbrepo-broker-service,149475328,3
dbrepo-data-service,381587456,3
dbrepo-container-service,386027520,3
dbrepo-semantics-service,437108736,3
dbrepo-metadata-service,375857152,3
dbrepo-user-service,489172992,3
dbrepo-authentication-service,470040576,3
dbrepo-ui,87056384,3
dbrepo-metadata-db,150331392,3
dbrepo-analyse-service,86392832,3
dbrepo-data-db,103235584,3
dbrepo-search-db,1658408960,3
dbrepo-upload-service,31608832,3
dbrepo-gateway-service,21590016,4
dbrepo-identifier-service,432119808,4
dbrepo-query-service,462282752,4
dbrepo-table-service,389689344,4
dbrepo-database-service,389148672,4
dbrepo-broker-service,149880832,4
dbrepo-data-service,381784064,4
dbrepo-container-service,386109440,4
dbrepo-semantics-service,437256192,4
dbrepo-metadata-service,378241024,4
dbrepo-user-service,489271296,4
dbrepo-authentication-service,470237184,4
dbrepo-ui,87076864,4
dbrepo-metadata-db,150511616,4
dbrepo-analyse-service,86392832,4
dbrepo-data-db,103387136,4
dbrepo-search-db,1659256832,4
dbrepo-upload-service,31608832,4
dbrepo-gateway-service,21712896,5
dbrepo-identifier-service,432533504,5
dbrepo-query-service,462467072,5
dbrepo-table-service,389935104,5
dbrepo-database-service,389492736,5
dbrepo-broker-service,149901312,5
dbrepo-data-service,381997056,5
dbrepo-container-service,386314240,5
dbrepo-semantics-service,437383168,5
dbrepo-metadata-service,378433536,5
dbrepo-user-service,489320448,5
dbrepo-authentication-service,470347776,5
dbrepo-ui,87101440,5
dbrepo-metadata-db,150343680,5
dbrepo-analyse-service,86396928,5
dbrepo-data-db,103563264,5
dbrepo-search-db,1662029824,5
dbrepo-upload-service,31608832,5
dbrepo-gateway-service,21835776,6
dbrepo-identifier-service,432738304,6
dbrepo-query-service,462729216,6
dbrepo-table-service,390062080,6
dbrepo-database-service,389832704,6
dbrepo-broker-service,149942272,6
dbrepo-data-service,382390272,6
dbrepo-container-service,386392064,6
dbrepo-semantics-service,437559296,6
dbrepo-metadata-service,378658816,6
dbrepo-user-service,489410560,6
dbrepo-authentication-service,470466560,6
dbrepo-ui,87121920,6
dbrepo-metadata-db,150401024,6
dbrepo-analyse-service,86396928,6
dbrepo-data-db,103763968,6
dbrepo-search-db,1662902272,6
dbrepo-upload-service,31670272,6
dbrepo-gateway-service,21962752,7
dbrepo-identifier-service,432959488,7
dbrepo-query-service,463118336,7
dbrepo-table-service,390377472,7
dbrepo-database-service,391131136,7
dbrepo-broker-service,150069248,7
dbrepo-data-service,382455808,7
dbrepo-container-service,386650112,7
dbrepo-semantics-service,438075392,7
dbrepo-metadata-service,378880000,7
dbrepo-user-service,489476096,7
dbrepo-authentication-service,470564864,7
dbrepo-ui,87146496,7
dbrepo-metadata-db,150376448,7
dbrepo-analyse-service,86392832,7
dbrepo-data-db,104169472,7
dbrepo-search-db,1664880640,7
dbrepo-upload-service,31670272,7
dbrepo-gateway-service,21983232,8
dbrepo-identifier-service,433291264,8
dbrepo-query-service,468054016,8
dbrepo-table-service,390463488,8
dbrepo-database-service,391118848,8
dbrepo-broker-service,150315008,8
dbrepo-data-service,382492672,8
dbrepo-container-service,386736128,8
dbrepo-semantics-service,437944320,8
dbrepo-metadata-service,379146240,8
dbrepo-user-service,489439232,8
dbrepo-authentication-service,470417408,8
dbrepo-ui,87248896,8
dbrepo-metadata-db,150343680,8
dbrepo-analyse-service,86401024,8
dbrepo-data-db,106348544,8
dbrepo-search-db,1677053952,8
dbrepo-upload-service,31670272,8
dbrepo-gateway-service,21983232,9
dbrepo-identifier-service,433352704,9
dbrepo-query-service,468328448,9
dbrepo-table-service,390639616,9
dbrepo-database-service,391831552,9
dbrepo-broker-service,150110208,9
dbrepo-data-service,382619648,9
dbrepo-container-service,386760704,9
dbrepo-semantics-service,438231040,9
dbrepo-metadata-service,379412480,9
dbrepo-user-service,489447424,9
dbrepo-authentication-service,470470656,9
dbrepo-ui,87257088,9
dbrepo-metadata-db,150364160,9
dbrepo-analyse-service,86392832,9
dbrepo-data-db,106508288,9
dbrepo-search-db,1682333696,9
dbrepo-upload-service,31666176,9
dbrepo-gateway-service,21999616,10
dbrepo-identifier-service,433471488,10
dbrepo-query-service,468459520,10
dbrepo-table-service,390766592,10
dbrepo-database-service,392720384,10
dbrepo-broker-service,150089728,10
dbrepo-data-service,382636032,10
dbrepo-container-service,386781184,10
dbrepo-semantics-service,438218752,10
dbrepo-metadata-service,381566976,10
dbrepo-user-service,489435136,10
dbrepo-authentication-service,470183936,10
dbrepo-ui,87048192,10
dbrepo-metadata-db,150310912,10
dbrepo-analyse-service,86396928,10
dbrepo-data-db,106582016,10
dbrepo-search-db,1682870272,10
dbrepo-upload-service,31649792,10
